column,Parameter Name,View,Format,Units,Description
231,h_msig_25,L,5.3f,mag,H 1-sigma uncertainty in 25 arcsec circular ap. mag.
232,h_flg_25,L,1hd,-,"H confusion flag for 25 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
233,k_m_25,L,6.3f,mag,K 25 arcsec radius circular aperture magnitude.
234,k_msig_25,L,5.3f,mag,K 1-sigma uncertainty in 25 arcsec circular ap. mag.
235,k_flg_25,L,1hd,-,"K confusion flag for 25 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
236,j_m_30,L,6.3f,mag,J 30 arcsec radius circular aperture magnitude.
237,j_msig_30,L,5.3f,mag,J 1-sigma uncertainty in 30 arcsec circular ap. mag.
238,j_flg_30,L,1hd,-,"J confusion flag for 30 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
239,h_m_30,L,6.3f,mag,H 30 arcsec radius circular aperture magnitude.
240,h_msig_30,L,5.3f,mag,H 1-sigma uncertainty in 30 arcsec circular ap. mag.
241,h_flg_30,L,1hd,-,"H confusion flag for 30 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
242,k_m_30,L,6.3f,mag,K 30 arcsec radius circular aperture magnitude.
243,k_msig_30,L,5.3f,mag,K 1-sigma uncertainty in 30 arcsec circular ap. mag.
244,k_flg_30,L,1hd,-,"K confusion flag for 30 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
245,j_m_40,L,6.3f,mag,J 40 arcsec radius circular aperture magnitude.
246,j_msig_40,L,5.3f,mag,J 1-sigma uncertainty in 40 arcsec circular ap. mag.
247,j_flg_40,L,1hd,-,"J confusion flag for 40 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
248,h_m_40,L,6.3f,mag,H 40 arcsec radius circular aperture magnitude.
249,h_msig_40,L,5.3f,mag,H 1-sigma uncertainty in 40 arcsec circular ap. mag.
250,h_flg_40,L,1hd,-,"H confusion flag for 40 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
251,k_m_40,L,6.3f,mag,K 40 arcsec radius circular aperture magnitude.
252,k_msig_40,L,5.3f,mag,K 1-sigma uncertainty in 40 arcsec circular ap. mag.
253,k_flg_40,L,1hd,-,"K confusion flag for 40 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
254,j_m_50,L,6.3f,mag,J 50 arcsec radius circular aperture magnitude.
255,j_msig_50,L,5.3f,mag,J 1-sigma uncertainty in 50 arcsec circular ap. mag.
256,j_flg_50,L,1hd,-,"J confusion flag for 50 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:

0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative


If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
257,h_m_50,L,6.3f,mag,H 50 arcsec radius circular aperture magnitude.
258,h_msig_50,L,5.3f,mag,H 1-sigma uncertainty in 50 arcsec circular ap. mag.
259,h_flg_50,L,1hd,-,"H confusion flag for 50 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
260,k_m_50,L,6.3f,mag,K 50 arcsec radius circular aperture magnitude.
261,k_msig_50,L,5.3f,mag,K 1-sigma uncertainty in 50 arcsec circular ap. mag.
262,k_flg_50,L,1hd,-,"K confusion flag for 50 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
263,j_m_60,L,6.3f,mag,J 60 arcsec radius circular aperture magnitude.
264,j_msig_60,L,5.3f,mag,J 1-sigma uncertainty in 60 arcsec circular ap. mag.
265,j_flg_60,L,1hd,-,"J confusion flag for 60 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
266,h_m_60,L,6.3f,mag,H 60 arcsec radius circular aperture magnitude.
267,h_msig_60,L,5.3f,mag,H 1-sigma uncertainty in 60 arcsec circular ap. mag.
268,h_flg_60,L,1hd,-,"H confusion flag for 60 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
269,k_m_60,L,6.3f,mag,K 60 arcsec radius circular aperture magnitude.
270,k_msig_60,L,5.3f,mag,K 1-sigma uncertainty in 60 arcsec circular ap. mag.
271,k_flg_60,L,1hd,-,"K confusion flag for 60 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
272,j_m_70,L,6.3f,mag,J 70 arcsec radius circular aperture magnitude.
273,j_msig_70,L,5.3f,mag,J 1-sigma uncertainty in 70 arcsec circular ap. mag.
274,j_flg_70,L,1hd,-,"J confusion flag for 70 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
275,h_m_70,L,6.3f,mag,H 70 arcsec radius circular aperture magnitude.
276,h_msig_70,L,5.3f,mag,H 1-sigma uncertainty in 70 arcsec circular ap. mag.
277,h_flg_70,L,1hd,-,"H confusion flag for 70 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
278,k_m_70,L,6.3f,mag,K 70 arcsec radius circular aperture magnitude.
279,k_msig_70,L,5.3f,mag,K 1-sigma uncertainty in 70 arcsec circular ap. mag.
280,k_flg_70,L,1hd,-,"K confusion flag for 70 arcsec circular ap. mag.
The confusion flags [jhk]_flg 
for each mag are defined as follows:
0 if no other sources within aperture used 
1 if ap contained pixels masked off in coadd 
2 if ap contained pixels masked off due to neighboring sources 
3 if ap contained pixels that had a point source flux subtracted off 
4 if ap contained pixels within bright star mask 
5 if ap contained pixels masked off due to persistence 
6 if aperture ran into coadd boundary
7 if ap contained pixels within bright galaxy mask 
9 if integrated flux is negative
If the integrated flux is negative, a mag value is calculated using
    BFMag = 99.0 - [ZERO_CAL - 2.5 log10(|flux|)];
the resulting mag range is between ~ 75 and 99."
281,j_m_sys,L,6.3f,mag,"J system photometry magnitude.
The system flux includes the flux from this extended source and anything else in the immediate area, including stars and neighboring galaxies that ""touch"" this source."
282,j_msig_sys,L,5.3f,mag,J 1-sigma uncertainty in system photometry mag.
283,h_m_sys,L,6.3f,mag,"H system photometry magnitude.
The system flux includes the flux from this extended source and anything else in the immediate area, including stars and neighboring galaxies that ""touch"" this source."
284,h_msig_sys,L,5.3f,mag,H 1-sigma uncertainty in system photometry mag.
285,k_m_sys,L,6.3f,mag,"K system photometry magnitude.
The system flux includes the flux from this extended source and anything else in the immediate area, including stars and neighboring galaxies that ""touch"" this source."
286,k_msig_sys,L,5.3f,mag,K 1-sigma uncertainty in system photometry mag.
287,sys_flg,L,1hd,-,"system flag: 0=no system, 1=nearby galaxy flux incl. in mag."
288,contam_flg,L,1hd,-,"contamination flag: 0=no stars, 1=stellar flux incl. in mag."
289,j_5sig_ba,L,5.3f,-,J minor/major axis ratio fit to the 5-sigma isophote.
290,j_5sig_phi,L,3hd,deg,J angle to 5-sigma major axis (E of N).
291,h_5sig_ba,L,5.3f,-,H minor/major axis ratio fit to the 5-sigma isophote.
292,h_5sig_phi,L,3hd,deg,H angle to 5-sigma major axis (E of N).
293,k_5sig_ba,L,5.3f,-,K minor/major axis ratio fit to the 5-sigma isophote.
294,k_5sig_phi,L,3hd,deg,K angle to 5-sigma major axis (E of N).
295,j_d_area,L,3hd,-,J 5-sigma to 3-sigma differential area.
296,j_perc_darea,L,3hd,-,J 5-sigma to 3-sigma percent area change.
297,h_d_area,L,3hd,-,H 5-sigma to 3-sigma differential area.
298,h_perc_darea,L,3hd,-,H 5-sigma to 3-sigma percent area change.
299,k_d_area,L,3hd,-,K 5-sigma to 3-sigma differential area.
300,k_perc_darea,L,3hd,-,K 5-sigma to 3-sigma percent area change.
301,j_bisym_rat,L,5.3f,-,J bi-symmetric flux ratio.
302,j_bisym_chi,L,6.3f,-,J bi-symmetric cross-correlation chi.
303,h_bisym_rat,L,5.3f,-,H bi-symmetric flux ratio.
304,h_bisym_chi,L,6.3f,-,H bi-symmetric cross-correlation chi.
305,k_bisym_rat,L,5.3f,-,K bi-symmetric flux ratio.
306,k_bisym_chi,L,6.3f,-,K bi-symmetric cross-correlation chi.
307,j_sh0,L,5.2f,-,J ridge shape (LCSB: BSNR limit).
308,j_sig_sh0,L,5.2f,-,J ridge shape sigma (LCSB: B2SNR limit).
309,h_sh0,L,5.2f,-,H ridge shape (LCSB: BSNR limit).
310,h_sig_sh0,L,5.2f,-,H ridge shape sigma (LCSB: B2SNR limit).
311,k_sh0,L,5.2f,-,K ridge shape (LCSB: BSNR limit).
312,k_sig_sh0,L,5.2f,-,K ridge shape sigma (LCSB: B2SNR limit).
313,j_sc_mxdn,L,6.1f,-,J mxdn (score) (LCSB: BSNR - block/smoothed SNR).
314,j_sc_sh,L,6.1f,-,J shape (score).
315,j_sc_wsh,L,6.1f,-,J wsh (score) (LCSB: PSNR - peak raw SNR).
316,j_sc_r23,L,6.1f,-,J r23 (score) (LCSB: TSNR - integrated SNR for r=15).
317,j_sc_1mm,L,6.1f,-,"J 1st moment (score) (LCSB: super blk 2,4,8 SNR)."
318,j_sc_2mm,L,6.1f,-,J 2nd moment (score) (LCSB: SNRMAX - super SNR max).
319,j_sc_vint,L,6.1f,-,J vint (score).
320,j_sc_r1,L,6.1f,-,J r1 (score).
321,j_sc_msh,L,6.1f,-,J median shape score.
322,h_sc_mxdn,L,6.1f,-,H mxdn (score) (LCSB: BSNR - block/smoothed SNR).
323,h_sc_sh,L,6.1f,-,H shape (score).
324,h_sc_wsh,L,6.1f,-,H wsh (score) (LCSB: PSNR - peak raw SNR).
325,h_sc_r23,L,6.1f,-,H r23 (score) (LCSB: TSNR - integrated SNR for r=15).
326,h_sc_1mm,L,6.1f,-,"H 1st moment (score) (LCSB: super blk 2,4,8 SNR)."
327,h_sc_2mm,L,6.1f,-,H 2nd moment (score) (LCSB: SNRMAX - super SNR max).
328,h_sc_vint,L,6.1f,-,H vint (score).
329,h_sc_r1,L,6.1f,-,H r1 (score).
330,h_sc_msh,L,6.1f,-,H median shape score.
331,k_sc_mxdn,L,6.1f,-,K mxdn (score) (LCSB: BSNR - block/smoothed SNR).
332,k_sc_sh,L,6.1f,-,K shape (score).
333,k_sc_wsh,L,6.1f,-,K wsh (score) (LCSB: PSNR - peak raw SNR).
334,k_sc_r23,L,6.1f,-,K r23 (score) (LCSB: TSNR - integrated SNR for r=15).
335,k_sc_1mm,L,6.1f,-,"K 1st moment (score) (LCSB: super blk 2,4,8 SNR)."
336,k_sc_2mm,L,6.1f,-,K 2nd moment (score) (LCSB: SNRMAX - super SNR max).
337,k_sc_vint,L,6.1f,-,K vint (score).
338,k_sc_r1,L,6.1f,-,K r1 (score).
339,k_sc_msh,L,6.1f,-,K median shape score.
340,j_chif_ellf,L,6.1f,-,J % chi-fraction for elliptical fit to 3-sig isophote.
341,k_chif_ellf,L,6.1f,-,K % chi-fraction for elliptical fit to 3-sig isophote.
342,ellfit_flg,L,1hd,-,ellipse fitting contamination flag.
343,sup_chif_ellf,L,6.1f,-,super-coadd % chi-fraction for ellip. fit to 3-sig isophote.
344,n_blank,L,4hd,-,"number of blanked source records.
These parameters refer to sources that were blanked and/or subtracted from the images before doing photometry. Data for each of these blanked or subtracted sources are found in the blanked and subtracted source tables."
345,n_sub,L,4hd,-,"number of subtracted source records.
These parameters refer to sources that were blanked and/or subtracted from the images before doing photometry. Data for each of these blanked or subtracted sources are found in the blanked and subtracted source tables."
346,bl_sub_flg,L,1hd,-,blanked/subtracted src description flag.
347,id_flg,L,1hd,-,"type/galaxy ID flag (0=non-catalog, 1=catalog, 2=LCSB).
This flag indicates the extended source catalog type as follows:
0 = extended source not found in another catalog 
1 = extended source is found in galaxy catalog (ID found in id_cat field)
2 = LCSB (Low Central Surface Brightness) source"
348,id_cat,L,20s,-,matched galaxy's catalog name.
349,fg_flg,L,6s,-,flux-growth convergence flag.
350,blk_fac,L,1hd,-,"LCSB blocking factor (1, 2, 4, 8)."
351,dup_src,L,1hd,-,"Duplicate source flag. Used in conjunction with the use_src flag, this numerical flag indicates whether the source falls in a Tile overlap region, and if so, if it was detected multiple times. 	•	""0"" = The source does not fall within a Tile overlap region (use_src=""1""), or it falls in an overlap region and there were no sources detected within 2"" of its position in the overlapping Tile (use_src=""0""). 
	•	""1"" = The source falls within a Tile overlap region, and there is one source detected within 2"" of its position in the overlapping Tile. 
	•	"">1"" = The source falls within a Tile overlap region, and there are multiple sources detected within 2"" of its position in the overlapping Tile, and/or within its own Tile. This implies confusion in the multiple source resolution procedure."
352,use_src,L,1hd,-,"Use source flag. Used in conjunction with the dup_src flag, this numerical flag indicates if a source falls within a Tile overlap region, and whether or not it satisfies the unbiased selection rules for multiple source resolution. 	•	""1"" = The source does not fall in a Tile overlap region (dup_src=""0""), or it falls in an overlap region, but lies farther from its scan edge than any apparition of the source in another Tile. A source must have use_src=""1"" to be considered part of the sub-Catalog that satisfies the 2MASS Level 1 Science Requirements 
	•	""0"" = The source falls in a Tile overlap region, but does not have a detection within 2"" of its position in any overlapping Tiles. PSC sources with use_src=""0"" will always have dup_src=""0"". Such objects are usually faint, and thus toggling above and below the detection limits, or may have moved between the scans of the different Tiles. 
	•	"">1"" = The source falls within a Tile overlap region, and there are multiple sources detected within 2"" of its position in the overlapping Tile, and/or within its own Tile. This implies confusion in the multiple source resolution procedure."
353,prox,L,5.1f,arcsec,"Proximity. The distance between this source and its nearest neighbor in the PSC. The pts_key of the nearest source is given in the pxcntr column. The effective resolution of the 2MASS system is approximately 5"". Any source with prox < 6"" is potentially confused with a nearby object, and should be used with caution. "
354,pxpa,L,3hd,deg,"The position angle on the sky of the vector from the source to the nearest neighbor in the PSC, in degrees East of North. This column in null if prox=0.0, which occurs only for confused sources or from errors in the bandmerge process caused by confusion. "
355,pxcntr,L,10d,-,ext_key value of nearest XSC source.
356,dist_edge_ns,L,%5d,arcsec,"The distance from the source to the nearest North or South scan edge. The scan edge is defined by the great-circle interpolation between the 3-band coverage corners. The equatorial coordinates of the 3-band coverage corners are given in the Scan Information Table, referenced by the scan_key. The first character of the dist_edge_flg indicates to which edge the source is closer. "
357,dist_edge_ew,L,%3d,arcsec,"The distance from the source to the nearest East or West scan edge. The scan edge is defined by the great-circle interpolation between the 3-band coverage corners. The equatorial coordinates of the 3-band coverage corners are given in the Scan Information Table, referenced by the scan_key. The second character of the dist_edge_flg indicates to which edge the source is closer."
358,dist_edge_flg,L,%2s,-,flag indicating which edges ([n|s][e|w]) are nearest to src.
359,pts_key,L,10d,-,"key to point source data DB record.
If the source has point source data (i.e. it is not an LCSB), this field will be set to the key of the record in the point source table containing the point source data. The point source data will also have the same date, hemisphere, scan, id keys."
360,mp_key,L,5d,-,"key to minor planet prediction DB record.
If a minor planet (asteroid) is predicted at this src's position, the field is set to the key of the record containing the minor planet prediction data (see the minor planet tbls). The minor planet data will also have the same date, hemisphere, scan, id keys."
361,night_key,L,4d,-,"key to night data record in ""scan DB"".
This field is set to the key of the record containing the corresponding night data in the night data table. The records will also have the same date and hemisphere keys."
362,scan_key,S,6d,-,"key to scan data record in ""scan DB"".
This field is set to the key of the record containing the corresponding scan data in the scan data table. The records will also have the same date, hemisphere, scan keys."
363,coadd_key,L,7d,-,"key to coadd data record in ""scan DB"".
This field is set to the key of the record containing the corresponding J, H, and K band coadd data in the coadd data table. The records will also have the same date, hemisphere, scan, coadd keys."
364,hemis,L,1s,-,"hemisphere (N/S) of observation. ""n"" = North/Mt. Hopkins; ""s"" = South/CTIO. "
365,date,L,yyyy-mm-dd,-,"The observation reference date for this source expressed in ISO standard format. This is the UT day value at sunrise for the night on which the source was observed. Because it is possible for the UT day to change during a night of observations, the actual UT date for a source measurement can differ from date by one day. Use the Julian Day value (jdate) for a more accurate determination of the observation time of the source."
366,scan,L,3hd,-,scan number (unique within date).
367,coadd,L,03hd,-,3-digit coadd number (unique within scan).
368,id,L,6d,-,"source ID number (unique within scan, coadd)."
369,x_coadd,L,6.1f,arcsec,x (cross-scan) position (coadd coord.).
370,y_coadd,L,6.1f,arcsec,y (in-scan) position (coadd coord.).
371,j_subst2,L,6.1f,-,J residual background #2 (score).
372,h_subst2,L,6.1f,-,H residual background #2 (score).
373,k_subst2,L,6.1f,-,K residual background #2 (score).
374,j_back,L,6.1f,-,J coadd median background.
375,h_back,L,6.1f,-,H coadd median background.
376,k_back,L,6.1f,-,K coadd median background.
377,j_resid_ann,L,7.3f,DN,J residual annulus background median.
378,h_resid_ann,L,7.3f,DN,H residual annulus background median.
379,k_resid_ann,L,7.3f,DN,K residual annulus background median.
380,j_bndg_per,L,5d,arcsec,J banding Fourier Transf. period on this side of coadd.
381,j_bndg_amp,L,6.3f,DN,J banding maximum FT amplitude on this side of coadd.
382,h_bndg_per,L,5d,arcsec,H banding Fourier Transf. period on this side of coadd.
383,h_bndg_amp,L,6.3f,DN,H banding maximum FT amplitude on this side of coadd.
384,k_bndg_per,L,5d,arcsec,K banding Fourier Transf. period on this side of coadd.
385,k_bndg_amp,L,6.3f,DN,K banding maximum FT amplitude on this side of coadd.
386,j_seetrack,L,4.1f,-,J band seetracking score.
387,h_seetrack,L,4.1f,-,H band seetracking score.
388,k_seetrack,L,4.1f,-,K band seetracking score.
389,ext_key,S,9d,-,entry counter (key) number (unique within table).
